trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
142,False,"{'a': 0.05, 'e': 0.28999999999999937}",30,20,16.978909203366975,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.05, 'e': 0.28499999999999936}",20,12,1.6231287552443658,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.05, 'e': 0.27999999999999936}",20,0,12.868441796621514,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
145,False,"{'a': 0.05, 'e': 0.27499999999999936}",20,16,7.914264096256596,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.05, 'e': 0.26999999999999935}",25,6,-11.905425108126739,"{0: 15, 1: 2, 2: 1, 3: 1, 4: 0}",1
147,False,"{'a': 0.05, 'e': 0.26499999999999935}",20,13,-8.978003251495286,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
148,False,"{'a': 0.05, 'e': 0.25999999999999934}",20,15,-2.8611617128887685,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
149,False,"{'a': 0.05, 'e': 0.25499999999999934}",25,3,9.88410941386632,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
150,False,"{'a': 0.05, 'e': 0.24999999999999933}",30,6,-69.06003928674504,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 2}",1
151,False,"{'a': 0.05, 'e': 0.24499999999999933}",20,9,10.577301395986087,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.05, 'e': 0.23999999999999932}",25,0,-5.402765119561694,"{0: 21, 1: 0, 2: 4, 3: 0, 4: 0}",0
153,False,"{'a': 0.05, 'e': 0.23499999999999932}",25,6,30.959197337857262,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.05, 'e': 0.22999999999999932}",20,9,12.978533628140092,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.05, 'e': 0.2249999999999993}",30,0,-11.24880174443091,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
156,False,"{'a': 0.05, 'e': 0.2199999999999993}",20,6,-18.784004893092902,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
157,False,"{'a': 0.05, 'e': 0.2149999999999993}",20,14,8.682005940308493,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
